,Player_Id,Player_Name,No_of_Matches,Bat,Bowl,is_bowler,T_Score,T_Score1,Bat1,T_Score2,Bat2,MPlayed_2007,Team_2008,MPlayed_2008,Team_2009,MPlayed_2009,Team_2010,MPlayed_2010,Team_2011,MPlayed_2011,Team_2012,MPlayed_2012,Team_2013,MPlayed_2013,Team_2014,MPlayed_2014,Team_2015,MPlayed_2015,Team_2016,MPlayed_2016,Team_2017,MPlayed_2017,Team_2018,MPlayed_2018,Team_2019
267,268,JJ van der Wath,3,17,76,1,18,0,0,18,17,0,0,0,0,0,0,0,2,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0
268,269,R Ninan,2,6,36,1,3,0,0,3,6,0,0,0,0,0,0,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
269,270,S Aravind,38,59,788,1,59,9,17,50,42,0,0,0,0,0,0,0,2,13,2,14,0,14,0,1,2,5,2,14,2,24,0,24,0
270,271,MS Wade,3,33,0,0,22,19,29,3,4,0,0,0,0,0,0,0,6,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0
271,272,TD Paine,2,29,0,0,10,2,9,8,20,0,0,0,0,0,0,0,10,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
272,273,SB Wagh,8,3,108,1,2,2,2,0,1,0,0,0,0,0,5,1,10,8,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0
273,274,AC Thomas,15,19,327,1,20,0,2,20,17,0,0,0,0,0,0,0,10,11,10,15,0,15,0,4,0,0,0,0,0,0,0,0,0
274,275,JEC Franklin,19,309,155,1,321,118,88,203,221,0,0,0,0,0,0,0,7,7,7,19,0,19,0,12,0,0,0,0,0,0,0,0,0
275,276,Shakib Al Hasan,44,401,947,1,500,297,239,201,160,0,0,0,0,0,0,0,1,8,1,16,0,16,1,21,1,17,1,27,1,15,11,15,11
276,277,DH Yagnik,23,142,0,0,170,138,104,32,38,0,0,0,0,0,0,0,5,7,5,11,5,22,5,16,0,12,0,1,0,0,0,0,0
277,278,S Randiv,8,4,180,1,2,0,0,2,4,0,0,0,0,0,0,0,3,8,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0
